standard_sort	unit_id	parent_unit_id	unit_name	strat_index	rank	start_age_ma	end_age_ma	start_age_err_ma	font_color	cmyk	cyan	magenta	yellow	black	rgb	red	green	blue	html_rgb_hash
111	60	42	Upper Mississippian	C1-3	Series	323.2 ±0.4	330.9 ±0.2		Black	25/15/55/0	25	15	55	0	179/190/108	179	190	108	#B3BE6C
112	126	59	Visean	C1v	Stage	330.9 ±0.2	346.7 ±0.4		Black	35/15/55/0	35	15	55	0	166/185/108	166	185	108	#A6B96C
113	59	42	Middle Mississippian	C1-2	Series	330.9 ±0.2	346.7 ±0.4		Black	35/15/55/0	35	15	55	0	153/180/108	153	180	108	#99B46C
114	125	58	Tournaisian	C1t	Stage	346.7 ±0.4	358.9 ±0.4		Black	45/15/55/0	45	15	55	0	140/176/108	140	176	108	#8CB06C
115	58	42	Lower Mississippian	C1-1	Series	346.7 ±0.4	358.9 ±0.4		Black	45/15/55/0	45	15	55	0	128/171/108	128	171	108	#80AB6C
116	42	34	Mississippian	C1	Subsystem	323.2 ±0.4	358.9 ±0.4		White	60/25/55/0	60	25	55	0	103/143/102	103	143	102	#678F66
117	34	13	Carboniferous	C	System	298.9 ±0.15	358.9 ±0.4		White	60/15/30/0	60	15	30	0	103/165/153	103	165	153	#67A599
118	124	57	Famennian	D3fm	Stage	358.9 ±0.4	372.2 ±1.6		Black	5/5/20/0	5	5	20	0	242/237/179	242	237	179	#F2EDB3
119	123	57	Frasnian	D3f	Stage	372.2 ±1.6	382.7 ±1.6		Black	5/5/30/0	5	5	30	0	242/237/173	242	237	173	#F2EDAD
120	57	33	Upper Devonian	D3	Series	358.9 ±0.4	382.7 ±1.6		Black	5/10/35/0	5	10	35	0	241/225/157	241	225	157	#F1E19D
121	122	56	Givetian	D2g	Stage	382.7 ±1.6	387.7 ±0.8		Black	5/10/45/0	5	10	45	0	241/225/133	241	225	133	#F1E185
